,도로명전체주소,사업장명,분류
32,충청남도 아산시 음봉면 아산온천로157번길 67,(주)금호리조트아산스파비스,테마파크
33,충청남도 보령시 대해로 876 (신흑동),호텔마스타 대천,테마파크
34,경기도 용인시 처인구 포곡읍 에버랜드로 199,에버랜드,테마파크
35,경기도 용인시 처인구 포곡읍 에버랜드로 199,캐리비안베이,테마파크
36,경기도 용인시 기흥구 민속촌로 90 (보라동),한국민속촌 가족공원,테마파크
37,"제주특별자치도 제주시 애월읍 천덕로 880-24, 애월스마트테마파크",9.81 PARK JEJU,테마파크
38,경상북도 경주시 보문로 544 (천군동),경주월드주식회사 (경주지점),테마파크
39,"경상북도 경주시 보불로 391 (천군동, 디아너스C.C.골프클럽)",블루원 워터파크,테마파크
40,"경기도 하남시 미사대로 750 (신장동, 스타필드하남)",아쿠아필드 하남,테마파크
41,"경기도 파주시 조리읍 장곡로 218, 하니랜드놀이동산",하니랜드,테마파크
42,"경기도 여주시 강변유원지길 45 (연양동, 선밸리호텔)",주식회사 썬밸리,테마파크
43,전라남도 여수시 소라면 안심산길 155,유월드루지테마파크,테마파크
44,"강원특별자치도 횡성군 둔내면 고원로 451, 웰리힐리파크",웰리힐리파크 워터플래닛,테마파크
45,"강원특별자치도 횡성군 둔내면 고원로 451, 웰리힐리파크",웰리힐리파크 워터플래닛,테마파크
46,강원특별자치도 춘천시 영서로 2965 (사농동),육림랜드,테마파크
47,강원특별자치도 춘천시 하중도길 128 (중도동),레고랜드코리아,테마파크
48,"강원특별자치도 평창군 대관령면 올림픽로 715, 용평리조트",용평피크아일랜드,테마파크
49,"강원특별자치도 평창군 대관령면 솔봉로 325, 알펜시아 리조트",오션700,테마파크
50,강원특별자치도 삼척시 도계읍 심포남길 99,(주)하이원추추파크,테마파크
51,"강원특별자치도 정선군 사북읍 하이원길 175, 하이원 워터월드",하이원 워터월드,테마파크
52,제주특별자치도 서귀포시 안덕면 신화역사로304번길 98,신화테마파크,테마파크
53,제주특별자치도 서귀포시 안덕면 신화역사로304번길 98,신화워터파크,테마파크
54,부산광역시 기장군 기장읍 동부산관광로 42,롯데월드 어드벤처 부산,테마파크
55,"강원특별자치도 홍천군 서면 한치골길 264, 대명비발디파크",(주)소노인터내셔널 오션월드,테마파크
56,강원특별자치도 속초시 미시령로2983번길 88 (장사동),한화리조트(주) 설악워터피아,테마파크
57,"강원특별자치도 속초시 대포항길 186, 롯데리조트속초 (대포동)",롯데리조트 속초 워터파크,테마파크
58,"전라남도 여수시 소호로 295 (소호동, 디오션리조트)",에이치제이디오션리조트 주식회사,테마파크
59,,중흥골드스파&리조트,테마파크
60,전라남도 화순군 도곡면 지석로 1202-7,테마파크 소풍,테마파크
61,"대전광역시 중구 사정공원로 70 (사정동, 대전동물원)",대전오월드,테마파크
62,경상남도 창원시 마산합포구 구산면 로봇랜드로 250,로봇랜드,테마파크
63,경상남도 김해시 인제로 368 (삼방동),가야랜드,테마파크
64,경상남도 거제시 일운면 거제대로 2660,오션어드벤처,테마파크
65,전라남도 여수시 소호로 295 (소호동),에이치제이디오션리조트 주식회사,테마파크
66,경기도 과천시 광명로 181 (막계동),(주)서울랜드,테마파크
67,"서울특별시 광진구 능동로 216, 어린이대공원 (능동)",구미산업개발(주) 서울어린이대공원 놀이동산지점,테마파크
68,경기도 부천시 원미구 조마루로 2 (상동),웅진플레이도시,테마파크
69,광주광역시 북구 우치로 677 (생용동),광주패밀리랜드(주),테마파크
70,서울특별시 송파구 올림픽로 240 (잠실동),(주)롯데월드어드벤처,테마파크
71,"서울특별시 송파구 송파대로 111, 202동 지하1,2층 (문정동, 파크하비오)",워터킹덤,테마파크
72,경기도 고양시 일산서구 한류월드로 300 (대화동),(주)원마운트,테마파크
73,충청남도 보령시 대해로 876  (신흑동),레그랜드펀비치 호텔앤워터파크,테마파크
74,,주식회사 가고파랜드,테마파크
75,부산광역시 영도구 해양로 435-1 (동삼동),월드카니발 부산,테마파크
76,서울특별시 광진구 능동로 216 (능동),어린이대공원놀이동산(주),테마파크
77,충청북도 청주시 상당구 명암로216번길 47 (명암동),(주)청주드림랜드,테마파크
